@relation DATASET
@attribute f0 real
@attribute f1 real
@attribute f2 real
@attribute f3 real
@attribute f4 real
@attribute f5 real
@attribute f6 real
@attribute f7 real
@attribute f8 real
@attribute f9 real
@attribute f10 real
@attribute f11 real
@attribute f12 real
@attribute f13 real
@attribute f14 real
@attribute f15 real
@attribute f16 real
@attribute f17 real
@attribute f18 real
@attribute f19 real
@attribute f20 real
@attribute f21 real
@attribute f22 real
@attribute f23 real
@attribute f24 real
@attribute f25 real
@attribute f26 real
@attribute f27 real
@attribute f28 real
@attribute f29 real
@attribute f30 real
@attribute f31 real
@attribute f32 real
@attribute f33 real
@attribute f34 real
@attribute f35 real
@attribute CLASS {car,noncar}

@data
0.218,-0.932,-1.436,-0.446,-0.766,-0.399,-0.0,-0.775,-0.088,-0.276,0.094,0.476,-0.223,-1.078,1.161,0.497,-0.996,-0.114,-0.589,-1.24,-1.135,-0.175,-0.984,-0.0,0.001,-1.466,-0.863,0.044,-0.89,0.406,-0.813,-0.291,0.822,0.0,0.856,-0.047,noncar
0.294,-0.447,-1.76,-0.02,-1.02,-0.007,0.004,-0.984,-0.849,0.013,-0.558,-0.039,0.074,-1.379,1.673,-0.445,-1.382,-0.216,-0.667,-2.067,-1.294,-0.148,-1.222,-0.234,0.052,-1.742,-0.997,-0.986,-0.28,-0.717,0.018,1.5,1.147,-0.407,0.856,-0.025,car
0.655,-0.69,0.184,0.472,-0.513,-0.09,-0.646,0.062,0.799,-0.111,-0.558,0.002,0.035,-0.507,0.265,0.315,-0.611,-0.109,0.426,0.0,-0.275,0.143,-0.515,-0.002,-0.442,0.531,-0.195,-0.1,-0.28,-0.063,0.057,-0.179,0.011,0.705,-0.085,-0.813,noncar
0.609,-0.568,-0.464,0.01,0.185,0.128,0.347,-0.745,-0.468,-0.128,0.311,0.019,0.0,-0.507,0.393,-0.864,-0.611,-0.022,-0.099,-0.275,-0.498,-0.148,-0.537,-0.29,0.18,-0.421,-0.062,0.001,0.33,-0.0,-0.0,0.045,-0.314,0.022,0.184,-0.0,noncar
-0.111,0.039,0.671,0.0,-0.196,-0.009,-0.033,1.018,1.18,-0.408,-0.775,-0.111,-0.0,0.155,-0.504,-0.42,0.161,-0.326,-0.258,0.413,0.235,0.745,0.142,0.019,0.184,0.962,-0.195,0.997,-0.077,-0.134,0.133,-1.187,1.309,0.549,0.453,0.013,noncar
0.029,0.282,1.643,0.005,1.326,0.016,0.036,0.958,0.419,-0.244,0.094,0.325,0.853,1.058,-1.144,-0.006,0.933,0.111,-0.385,1.24,1.222,-0.45,1.042,0.523,-0.045,2.191,0.205,-0.115,-0.077,-0.563,0.251,-1.187,-0.476,-0.859,-0.219,-0.035,car
-0.469,-0.568,-1.436,0.0,-1.971,0.528,-0.123,-1.791,-1.229,0.037,-0.558,-0.136,-0.002,-1.529,2.057,0.905,-1.382,-0.67,-0.089,-1.309,-1.644,0.043,-1.324,-0.321,-0.279,-1.527,1.007,0.457,-0.89,-0.16,0.018,0.157,-1.287,-0.657,-1.429,0.651,noncar
-0.626,0.646,-0.626,0.012,-0.323,0.995,-0.001,0.838,0.926,0.416,-0.558,0.107,0.777,0.245,-0.632,0.844,0.161,0.042,-0.0,-0.62,0.426,-0.001,0.255,0.669,0.525,-0.728,-0.062,0.167,-0.483,-0.001,-0.064,-0.291,1.471,-0.06,0.453,0.341,noncar
0.432,1.253,1.481,0.086,1.136,-0.031,0.482,0.51,-0.088,0.544,0.311,-0.008,0.255,1.419,-1.272,0.112,1.318,0.016,-0.127,1.722,1.159,0.0,1.393,0.258,-0.218,1.392,0.205,0.098,-0.28,0.03,0.893,-0.179,-0.638,-0.019,-0.085,-0.002,car
-0.182,0.889,1.805,0.928,1.136,0.383,0.4,1.376,0.926,-0.073,0.311,-0.029,0.079,1.178,-1.144,0.038,1.318,0.019,-0.43,1.447,1.222,0.105,1.195,-0.002,0.001,1.484,0.205,0.0,-0.077,-0.475,-0.596,-0.851,-0.476,-0.0,-0.354,-0.875,car
0.975,-1.175,0.347,0.067,-0.449,-0.101,0.163,-0.476,0.292,0.105,-0.558,-0.106,0.002,-0.446,0.265,0.989,-0.611,-0.065,-0.575,-0.207,-0.434,0.303,-0.486,0.172,0.079,0.286,0.339,0.011,-1.297,-0.053,-0.367,-1.075,-0.638,0.249,-0.488,0.018,noncar
0.006,-1.175,-1.274,-0.389,-1.844,-0.109,0.01,-1.432,-0.342,0.157,-0.775,-0.546,-0.001,-1.379,1.801,-0.013,-1.382,0.399,-0.003,-1.584,-1.517,-0.521,-1.239,0.791,-0.533,-1.281,1.274,-0.021,0.127,0.001,-0.006,-1.299,-1.611,0.008,-1.698,-0.112,noncar
0.019,0.039,-0.302,0.166,-1.147,-0.044,-0.017,0.121,0.926,0.775,-0.341,-0.434,-0.097,-0.567,0.265,0.316,-0.611,-0.253,-0.0,-0.413,-0.625,0.042,-0.543,0.98,-0.196,0.071,-0.596,-0.289,0.533,-0.183,0.109,-1.299,1.633,0.382,1.394,0.244,noncar
0.005,-0.811,-0.95,0.098,-0.766,-0.821,-0.611,-0.626,-0.088,-0.311,-0.341,0.172,0.0,-0.777,0.649,0.885,-0.996,-0.32,0.517,-0.827,-0.784,0.725,-0.752,0.0,0.457,-1.036,-0.462,-0.435,-1.093,0.049,0.394,-1.187,0.498,0.902,0.453,-0.055,noncar
0.457,0.646,1.319,-0.292,1.453,-0.058,0.001,1.496,0.546,-0.292,0.529,-0.945,0.049,1.058,-1.144,-0.0,0.933,-0.001,0.121,1.171,1.031,-0.982,1.036,0.859,-0.047,1.515,-0.596,-0.126,-1.297,0.024,0.33,-0.739,0.335,-0.004,0.722,-0.034,car
0.316,-1.054,0.022,-0.101,-0.132,0.0,0.045,-0.446,0.292,0.005,0.094,0.001,-0.03,-0.657,0.521,-0.631,-0.611,-0.0,-0.005,0.0,-0.625,-0.0,-0.656,0.241,-0.027,-0.022,-0.195,-0.0,-1.093,0.07,0.091,-0.963,-0.151,-0.486,0.453,0.184,noncar
0.001,-1.297,-1.436,-0.004,-1.781,-0.187,0.812,-1.492,-0.595,-0.092,-0.558,-0.398,0.565,-1.228,1.545,-0.039,-0.996,-0.134,0.799,-1.584,-1.453,-0.583,-1.143,-0.79,-0.036,-1.097,1.274,-0.0,-0.077,-0.0,0.01,-1.075,-1.611,0.373,-1.698,-0.087,car
-0.65,1.618,1.481,0.0,1.009,-0.005,-0.0,1.018,0.419,-0.019,0.529,0.224,0.002,1.479,-1.272,0.111,1.704,-0.692,-0.024,1.309,1.286,-0.091,1.449,0.273,-0.082,1.269,-0.062,-0.971,-1.093,-0.643,0.377,1.724,-0.314,-0.005,0.453,0.689,car
0.0,1.011,0.022,-0.992,0.185,0.006,0.081,0.719,0.292,0.062,-0.558,0.0,-0.011,0.697,-1.016,0.299,0.547,0.083,-0.196,-0.138,0.904,0.014,0.736,0.129,0.0,-0.36,0.473,0.02,-0.077,0.315,0.0,-0.627,0.984,0.0,-0.354,0.527,noncar
0.144,-1.661,-1.112,-0.0,-1.21,-0.005,0.003,-1.193,-0.849,-0.926,-0.341,-0.026,-0.843,-0.687,0.649,-0.013,-0.611,0.058,-0.186,-1.24,-0.657,-0.0,-0.713,0.046,0.475,-0.513,1.407,0.012,0.533,0.028,0.431,0.829,-1.449,0.037,-1.429,-0.211,car
-0.006,-0.568,-0.302,0.0,0.185,-0.011,-0.045,-0.267,0.292,0.053,0.529,-0.499,0.151,-0.416,0.265,0.249,-0.611,-0.084,-0.57,0.207,-0.498,0.0,-0.475,-0.443,-0.654,-0.022,-0.062,0.098,-0.28,-0.095,-0.954,-0.403,-0.638,-0.011,0.049,-0.422,noncar
-0.668,-0.69,-0.464,-0.03,-0.323,-0.523,-0.815,-0.536,-0.468,0.061,-0.123,0.107,0.007,-0.867,0.777,0.064,-0.996,-0.009,-0.017,-0.413,-0.753,-0.687,-0.831,0.373,0.005,-0.513,-1.13,0.022,0.737,-0.521,0.007,-0.179,1.471,0.015,1.259,0.453,car
-0.375,-0.082,-1.598,0.7,-1.02,0.575,-0.04,-0.446,-0.342,0.473,-0.558,-0.023,-0.009,-0.807,0.649,-0.036,-0.996,0.652,-0.123,-1.378,-0.848,0.421,-0.769,-0.074,0.015,-1.681,-1.13,-0.926,-0.28,0.267,0.444,0.045,1.309,0.032,0.856,0.001,car
-0.67,0.889,0.509,-0.181,1.58,-0.21,0.041,1.585,0.799,0.002,0.311,0.586,-0.185,1.178,-1.144,0.535,1.318,0.482,-0.339,0.413,1.382,0.172,1.138,0.028,-0.006,0.9,-0.329,0.012,-0.28,0.055,-0.055,2.844,0.173,0.001,0.856,0.917,car
0.0,-0.811,-1.112,0.009,0.185,0.832,0.45,0.241,-0.088,-0.775,-0.123,-0.319,0.0,-0.146,-0.12,-0.207,-0.225,-0.519,-0.371,-1.309,-0.084,-0.002,-0.215,-0.332,-0.0,-1.374,-1.264,0.067,-1.093,-0.066,0.005,1.388,1.471,-0.013,1.259,-0.429,car
-0.0,0.768,0.184,-0.227,0.502,0.535,-0.359,0.091,0.673,0.002,0.094,0.223,-0.139,-0.356,0.265,0.037,-0.225,0.105,-0.691,0.138,-0.593,-0.0,-0.435,-0.227,0.745,0.286,-0.73,-0.006,2.16,0.231,0.03,-0.627,0.498,-0.407,0.587,-0.18,noncar
0.152,-1.418,-0.14,-0.484,-0.64,-0.024,0.177,-1.522,-1.229,0.16,-0.341,0.296,0.0,-0.507,0.393,-0.411,-0.611,-0.055,0.553,-0.069,-0.466,-0.159,-0.565,0.192,0.038,0.071,1.274,0.283,-0.89,-0.011,0.044,-1.187,-1.449,0.466,-1.429,0.239,noncar
0.132,-0.447,0.509,-0.042,0.248,-0.326,0.66,4.095,8.152,-0.348,8.787,0.035,-0.351,-0.476,0.393,-0.023,-0.611,-0.044,0.153,0.551,2.656,0.005,-0.531,0.01,-0.002,0.777,6.082,-0.098,-1.297,-0.461,-0.712,0.269,-0.638,-0.01,-0.219,-0.969,noncar
0.192,1.496,1.319,-0.001,1.009,0.135,-0.192,0.211,-0.975,-0.001,0.311,-0.121,0.19,1.419,-1.272,-0.949,1.318,-0.095,-0.484,1.585,1.477,-0.194,1.421,0.964,0.01,1.33,0.205,-0.249,-1.093,-0.096,-0.0,-0.403,-0.314,0.0,0.184,-0.265,car
-0.001,-1.54,0.022,0.335,-0.893,-0.694,-0.001,0.002,1.433,0.002,-0.558,0.0,-0.671,-0.537,0.393,0.022,-0.611,0.857,-0.082,-0.138,-0.498,0.483,-0.588,0.002,0.499,0.347,0.339,-0.092,0.127,-0.004,0.28,-1.411,-0.962,0.045,-0.892,0.499,noncar
0.344,0.16,0.509,-0.474,1.389,-0.03,0.296,1.346,0.673,-0.015,0.094,-0.011,-0.133,1.088,-1.144,-0.551,0.933,-0.46,-0.059,0.207,1.222,0.813,1.064,0.0,-0.355,0.839,0.205,-0.314,-0.28,-0.226,0.468,-0.403,-0.476,-0.0,-0.354,-0.715,car
0.008,-0.69,-1.274,-0.076,-1.971,-0.04,-0.061,-1.91,-1.229,-0.24,-0.775,-0.068,0.041,-1.499,2.057,-0.121,-1.382,0.327,-0.115,-1.378,-1.708,-0.953,-1.318,-0.99,0.033,-1.527,1.808,0.171,0.33,-0.171,-0.668,0.381,-1.611,0.836,-1.698,0.0,noncar
0.005,0.039,0.671,0.129,0.311,0.14,-0.532,-0.954,-0.975,0.276,0.529,0.144,0.024,-0.326,0.265,-0.014,-0.225,-0.958,0.0,0.965,-0.338,0.045,-0.418,-0.117,-0.036,0.347,0.339,0.212,-0.28,-0.398,0.098,-0.851,-0.962,0.279,-0.219,-0.369,noncar
0.019,-0.082,-1.274,0.011,-0.386,-0.198,0.023,0.42,0.166,-0.057,-0.123,-0.071,-0.105,-0.146,-0.12,-0.018,-0.225,0.401,0.005,-0.964,0.076,-0.0,-0.198,-0.081,-0.276,-1.097,-0.73,0.717,-0.483,-0.26,-0.013,-0.627,0.498,0.001,0.184,-0.028,car
0.347,3.075,1.481,0.669,1.516,-0.551,-0.008,1.525,0.419,0.047,0.746,-0.845,-0.018,1.328,-1.272,0.305,1.318,0.278,0.002,1.309,1.095,-0.665,1.33,0.0,-0.109,1.76,-0.863,-0.001,2.77,0.054,-0.025,-1.299,0.498,0.313,0.856,-0.005,car
0.0,-0.082,0.184,-0.079,-0.006,-0.087,0.0,-0.715,-0.468,-0.096,0.529,-0.006,0.917,-0.296,0.265,0.206,-0.225,0.974,-0.369,0.827,-0.275,-0.821,-0.39,-0.006,-0.344,0.439,0.606,-0.608,-0.89,0.734,-0.277,-0.963,-0.962,-0.08,-0.219,-0.16,noncar
0.543,-0.325,-0.302,-0.041,-0.766,-0.181,0.024,-1.074,-0.849,0.351,-0.123,0.032,-0.024,-1.168,1.289,-0.481,-0.996,0.075,0.927,-0.138,-0.944,-0.63,-1.058,0.517,0.546,-0.575,-0.329,0.065,-1.093,-0.531,-0.084,-0.515,0.173,-0.0,-0.219,0.063,noncar
-0.056,-1.054,-0.464,0.0,-1.02,0.59,0.123,-1.402,-0.975,-0.015,-0.558,0.079,-0.192,-0.627,0.649,0.369,-0.611,-0.09,0.144,-0.482,-0.53,0.118,-0.696,-0.001,-0.821,-0.022,2.075,0.056,-0.077,-0.118,-0.153,0.157,-1.449,-0.001,-1.833,-0.075,noncar
0.187,-0.568,0.347,0.658,-0.069,0.007,0.195,-0.655,0.292,-0.271,0.529,0.003,-0.776,-0.386,0.393,-0.78,-0.225,0.641,-0.0,1.033,-0.593,0.0,-0.498,0.22,-0.0,0.409,0.473,0.455,-0.077,-0.075,0.141,0.045,-0.8,-0.073,-0.354,-0.166,noncar
0.397,-0.325,0.022,-0.588,-0.196,0.011,0.003,0.211,-0.342,0.038,0.094,-0.0,-0.022,-0.176,-0.12,0.084,-0.225,0.001,-0.765,0.0,-0.147,0.483,-0.203,0.294,-0.008,0.132,-1.397,0.024,-1.297,-0.453,-0.017,-0.291,1.633,-0.028,1.663,0.0,car
-0.915,-1.904,-1.112,0.001,-1.21,-0.037,-0.159,-1.612,-1.356,0.009,-0.558,0.12,-0.852,-0.807,0.777,-0.009,-0.611,-0.865,-0.818,-1.24,-0.848,0.139,-0.797,-0.004,-0.018,-0.882,0.606,-0.001,-0.89,-0.532,0.106,-0.963,-1.287,0.414,-1.429,-0.001,car
-0.075,-0.204,-1.112,-0.033,-0.703,-0.02,-0.098,0.151,0.546,0.343,-0.341,0.015,0.021,-0.446,0.265,-0.088,-0.611,0.001,0.013,-1.033,-0.243,0.001,-0.481,0.001,0.064,-1.374,-0.329,-0.721,-0.483,-0.0,-0.589,1.276,0.011,0.01,-0.085,-0.18,car
0.133,0.525,1.643,-0.362,1.199,0.035,-0.116,1.764,1.053,-0.01,0.094,-0.009,0.446,1.238,-1.272,0.996,1.318,-0.048,0.002,1.378,1.509,-0.568,1.251,0.003,-0.022,2.16,-0.062,-0.941,-1.093,0.265,0.085,-0.739,-0.151,0.823,0.184,-0.251,car
-0.007,0.889,-0.464,0.678,-1.274,0.756,0.0,0.181,0.673,-0.004,-0.558,-0.002,0.768,-0.597,0.265,-0.025,-0.611,-0.236,-0.113,-0.62,-0.625,-0.119,-0.56,-0.573,-0.086,-0.298,-0.997,0.469,0.127,-0.767,-0.161,-0.179,2.12,0.662,1.797,0.242,noncar
0.802,0.889,1.805,-0.441,1.389,0.756,0.08,0.48,-1.102,-0.047,-0.558,0.022,0.112,2.652,-1.912,0.153,2.861,-0.056,-0.16,1.378,2.751,0.958,2.921,-0.167,0.0,1.699,1.407,0.547,-0.28,0.734,-0.025,1.5,-1.449,-0.482,-1.564,0.089,noncar
-0.0,0.039,-1.436,0.0,-1.02,-0.284,0.049,-0.536,-0.088,-0.134,-0.123,-0.055,-0.021,-1.078,1.161,-0.01,-0.996,-0.023,-0.155,-0.896,-1.103,-0.084,-0.99,-0.676,0.707,-1.711,-1.397,0.019,0.533,-0.008,0.006,-1.075,1.958,0.002,1.663,-0.001,noncar
-0.03,0.403,-0.14,-0.003,0.882,-0.0,-0.481,0.779,0.166,0.466,0.094,-0.019,-0.0,0.486,-0.632,0.699,0.547,0.945,-0.726,-0.275,0.426,0.116,0.408,0.238,0.001,-0.298,-0.863,-0.022,-0.483,0.004,0.02,-0.515,0.335,-0.009,0.453,0.0,car
-0.159,-0.568,0.347,-0.777,0.121,0.085,-0.193,-1.074,-0.849,0.782,0.529,-0.013,-0.05,-0.356,0.393,0.304,-0.225,-0.0,-0.213,0.827,-0.625,-0.881,-0.486,0.277,-0.516,0.04,0.205,0.053,-0.28,0.007,0.035,-0.403,-1.125,0.408,-0.488,0.044,noncar
0.135,1.618,1.319,-0.991,1.326,-0.045,-0.024,1.555,0.546,-0.265,0.529,0.084,0.022,1.208,-1.144,0.929,1.318,-0.013,-0.01,1.033,1.063,-0.747,1.206,0.972,-0.003,1.146,-0.863,-0.0,-1.297,0.015,0.055,-1.299,0.335,-0.231,0.722,-0.871,car
-0.082,-1.054,-0.95,-0.007,-0.893,0.827,0.001,-1.492,-1.229,0.41,-0.775,0.059,0.128,-1.228,1.545,0.141,-0.996,0.009,-0.002,-0.896,-1.294,-0.707,-1.126,-0.158,-0.043,-1.005,0.339,-0.796,0.33,-0.001,0.49,-0.515,-1.125,-0.777,-1.16,0.028,noncar
-0.195,1.132,0.833,0.0,1.009,-0.306,-0.003,1.286,0.166,-0.583,0.094,0.777,-0.986,0.727,-0.888,0.418,0.547,-0.316,-0.014,0.896,0.808,0.0,0.719,0.261,-0.532,0.316,-1.13,-0.505,-0.28,-0.0,-0.008,-0.851,1.471,-0.622,1.125,-0.312,car
-0.067,-2.025,-1.112,-0.0,-1.21,0.223,0.005,-1.014,-0.342,0.001,-0.775,0.951,-0.618,-1.168,1.417,0.038,-0.996,-0.792,0.695,-1.24,-1.39,0.571,-1.092,0.896,-0.753,-1.097,0.873,0.79,1.347,-0.214,0.0,0.941,-0.962,0.006,-1.16,-0.336,car
0.012,0.282,-0.788,0.0,-0.766,0.004,-0.779,-1.462,-1.482,0.001,-0.123,-0.098,-0.694,-0.958,1.161,-0.566,-0.996,-0.319,-0.534,-0.482,-0.848,-0.059,-0.967,-0.003,-0.127,-1.097,1.007,0.045,0.737,0.743,-0.007,0.045,-0.962,-0.075,-1.698,-0.096,noncar
-0.196,-1.297,-0.464,0.047,-1.02,0.012,0.017,-0.387,0.673,0.555,-0.341,0.879,0.971,-0.567,0.521,-0.039,-0.611,0.181,-0.186,-0.275,-0.466,-0.0,-0.605,-0.053,0.192,-0.482,0.74,-0.296,-0.483,-0.181,0.271,-1.187,-1.125,0.47,-1.026,-0.843,noncar
-0.452,-0.082,0.022,-0.147,0.248,-0.052,-0.654,0.958,0.926,-0.001,-0.341,0.863,-0.438,0.456,-0.76,0.0,0.547,-0.188,-0.037,-0.207,0.458,0.062,0.47,0.003,0.25,0.255,-0.062,0.064,-1.297,-0.783,0.002,-0.963,0.822,0.834,0.184,0.347,noncar
0.0,-0.568,-0.626,0.008,-0.449,0.088,0.0,-0.775,-0.722,0.838,-0.341,-0.669,0.618,-0.687,0.649,0.198,-0.611,-0.004,0.005,-0.758,-0.593,-0.442,-0.696,-0.449,-0.3,-0.575,0.473,-0.203,2.363,-0.229,0.071,-0.851,-0.8,-0.003,-1.026,0.298,car
0.634,-1.54,-0.302,-0.07,-0.893,0.029,0.06,-1.313,-0.595,-0.001,-0.123,0.015,0.0,-0.597,0.649,-0.095,-0.611,0.238,0.989,-0.138,-0.625,-0.504,-0.662,0.329,0.111,-0.083,1.407,-0.803,-0.077,-0.077,-0.583,0.605,-1.611,0.793,-1.564,-0.175,noncar
0.795,0.525,1.643,0.201,1.199,0.238,0.474,1.496,0.926,-0.003,0.529,-0.258,0.936,1.689,-1.4,0.09,1.704,-0.655,-0.318,2.067,1.35,-0.0,1.744,-0.012,0.463,1.269,0.205,-0.004,-0.077,0.533,-0.408,0.157,-0.314,0.041,-0.085,0.001,car
-0.136,-0.932,-0.14,-0.142,-0.259,0.0,-0.0,-0.148,0.799,0.445,0.094,0.028,0.013,-0.807,0.649,0.232,-0.996,-0.31,-0.073,-0.069,-0.657,0.183,-0.764,0.463,-0.022,-0.114,-0.329,-0.024,-1.093,-0.768,0.984,-0.179,0.173,-0.668,0.722,-0.035,noncar
-0.872,0.525,0.671,-0.891,0.121,-0.548,0.478,1.496,1.56,0.354,-0.341,0.272,0.032,0.637,-0.888,0.004,0.547,0.543,-0.004,0.413,0.617,0.814,0.668,0.004,-0.042,1.054,0.205,-0.077,-0.483,-0.245,-0.025,-0.627,0.984,-0.02,-0.085,0.004,noncar
0.002,0.282,1.643,0.299,1.009,-0.001,0.201,-0.237,-0.975,-0.002,0.311,0.8,0.116,1.389,-1.272,0.933,1.318,0.049,0.72,1.86,1.19,0.041,1.376,0.606,0.001,1.422,0.473,0.055,-0.687,0.228,0.601,-0.739,-0.638,0.394,-0.354,-0.175,car
-0.0,0.403,2.292,-0.009,1.643,0.046,0.043,1.735,1.053,-0.83,0.529,0.394,0.0,1.659,-1.4,0.065,1.704,0.805,-0.0,2.618,1.159,-0.0,1.653,-0.15,0.998,1.33,-0.329,-0.165,0.737,0.987,-0.021,1.388,-0.476,0.01,0.318,0.302,car
0.577,-0.204,-0.95,-0.339,0.565,0.145,-0.064,0.659,0.039,-0.978,-0.123,0.185,0.289,0.215,-0.504,0.426,0.161,-0.215,-0.108,-0.758,0.235,0.0,0.148,-0.538,0.024,-0.728,-0.73,-0.005,-0.687,-0.415,-0.701,1.165,0.498,0.172,0.587,-0.551,car
-0.118,-2.511,-1.274,-0.324,-1.844,0.017,-0.057,-1.731,-0.975,-0.231,-0.558,0.853,-0.363,-1.289,1.801,-0.32,-0.996,0.114,-0.127,-1.378,-1.708,0.379,-1.205,-0.184,-0.562,-0.851,1.274,0.003,-1.093,-0.001,-0.752,0.269,-2.098,-0.091,-1.564,-0.13,car
-0.176,-0.568,-0.464,0.075,0.438,0.145,0.019,-0.655,-0.088,0.102,0.529,-0.008,-0.026,-0.537,0.393,-0.093,-0.611,-0.713,0.018,-0.207,-0.593,-0.011,-0.577,-0.014,0.0,-0.36,-0.062,-0.784,0.94,-0.126,-0.0,1.165,-0.314,0.132,0.453,-0.054,noncar
-0.383,0.889,1.319,-0.913,1.326,0.065,-0.73,1.018,0.166,-0.921,0.094,0.248,0.046,0.787,-0.888,0.445,0.547,0.014,0.002,0.965,0.681,-0.105,0.742,0.032,-0.233,1.085,-0.596,0.051,-0.28,0.006,-0.242,-0.851,0.335,-0.702,0.318,-0.223,car
0.239,-0.325,-0.95,-0.527,0.058,0.038,-0.004,0.032,-0.215,0.262,-0.123,-0.335,0.987,0.095,-0.376,0.008,0.161,0.039,0.206,-0.964,0.267,-0.439,0.029,-0.001,-0.0,-0.698,-0.062,-0.102,-1.297,0.0,0.596,-0.291,-0.151,0.569,-0.219,0.015,car
-0.0,-0.932,-0.788,0.434,-1.274,0.0,-0.093,-0.865,0.039,-0.065,-0.341,0.264,-0.0,-0.567,0.521,-0.145,-0.611,0.511,0.0,-1.033,-0.753,-0.09,-0.622,0.065,-0.201,-0.052,1.274,0.278,-0.89,-0.47,-0.027,-1.075,-1.449,0.0,-1.429,-0.448,car
-0.006,1.253,1.157,-0.138,0.755,-0.902,-0.022,1.167,0.546,-0.0,-0.775,0.185,-0.002,1.178,-1.272,-0.0,1.318,-0.013,0.668,0.896,1.222,0.505,1.28,0.955,0.12,1.33,0.473,-0.011,0.94,0.565,-0.251,-0.963,0.66,-0.128,-0.623,0.234,noncar
