Date	        time	City	        Category	Sale	CC
2012-01-01	09:02	Riverside	Toys	2	Cash
2012-01-01	09:03	San Bernardino	Women's Clothing	100.38	Discover
2012-01-01	09:03	Wichita	Men's Clothing	460.38	MasterCard
2012-01-01	09:03	Santa Ana	Video Games	107.94	Visa
2012-01-01	09:03	New Orleans	Books	157.08	Discover
2012-01-01	09:03	Fremont	Men's Clothing	243.05	Discover
2012-01-01	09:03	Pittsburgh	Music	46.99	Discover
2012-01-01	09:03	Memphis	Toys	9.47	MasterCard
2012-01-01	09:03	Chicago	Garden	16.15	Visa
2012-01-01	09:03	Virginia Beach	Cameras	271.56	Discover
2012-01-01	09:03	Omaha	Children's Clothing	387.75	Visa
2012-01-01	09:03	Tucson	Health and Beauty	367.76	Visa
2012-01-01	09:03	Nashville	Men's Clothing	297.43	Amex
2012-01-01	09:03	Washington	Books	392.81	Discover
2012-01-01	09:03	Greensboro	Garden	11.96	MasterCard
2012-01-01	09:03	Tulsa	Crafts	20.07	Discover
2012-01-01	09:03	Cincinnati	DVDs	299.55	Visa
2012-01-01	09:03	Charlotte	DVDs	440.11	Visa2012-01-01	09:03	Austin	Crafts	127.8	Discover
2012-01-01	09:03	Anchorage	DVDs	390.2	Visa
2012-01-01	09:03	Albuquerque	Pet Supplies	440.7	Cash
2012-01-01	09:03	Santa Ana	Video Games	294.98	Cash
2012-01-01	09:03	Milwaukee	Men's Clothing	418.91	Discover
2012-01-01	09:03	Jacksonville	Computers	359.65	MasterCard
2012-01-01	09:04	Phoenix	Sporting Goods	371.21	Visa
2012-01-01	09:04	Anchorage	Health and Beauty	368.42	MasterCard
2012-01-01	09:04	Norfolk	Consumer Electronics	480.24	Cash
2012-01-01	09:04	San Antonio	CDs	125.35	Amex
2012-01-01	09:04	New Orleans	DVDs	242.31	Discover
2012-01-01	09:04	Riverside	Computers	278.61	Discover
2012-01-01	09:04	St. Petersburg	CDs	152.9	Discover
2012-01-01	09:04	Lubbock	Sporting Goods	452.07	Visa
2012-01-01	09:04	Toledo	Baby	59.08	Cash
2012-01-01	09:04	Oakland	Garden	155.33	Visa
2012-01-01	09:04	Philadelphia	Pet Supplies	332.48	Amex
2012-01-01	09:04	Scottsdale	Children's Clothing	419.06	Discover
